Ubicación;Latitud;Longitud;Familia;Genero-ESPECIE
Atahualpa, Tena, Napo, EC;-0,987583333;-77,82743833;Apidae;Xylocopa similis
Unnamed Road, Ecuador;-0,987247527;-77,82795715;Apidae;Apis mellifera
Tena, EC-NA, EC;-0,987785561;-77,8280853;Apidae;Apis mellifera
Provincia de Napo, Ecuador;-1,014634235;-77,8202054;Apidae;Trigona chanchamayoensis
Calle Teniente Hugo OrtÃ­z, Tena, Ecuador;-0,986573875;-77,81326294;Apidae;Apis mellifera
Parque amazonico Isla del Amor, Tena, Napo, EC;-0,995186667;-77,81718333;Apidae;Xylocopa similis
Provincia de, Ecuador;-0,985457372;-77,83755935;Apidae;Apis mellifera
Tena, EC-NA, EC;-1,003588617;-77,81576311;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,987411398;-77,83238243;Apidae;Apis mellifera
Unnamed Road, Tena, Ecuador;-1,00837;-77,81110667;Apidae;Xylocopa similis
Av. 15 de Noviembre 349, Tena, Ecuador;-1,001604516;-77,8124838;Apidae;Apis mellifera
Avenida Tamiahurco, Tena, Napo, EC;-0,98396641;-77,82370904;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,987885743;-77,82932136;Apidae;Apis mellifera
Francisco de Orellana, Tena, Napo, EC;-0,990305;-77,81257;Apidae;Apis mellifera
Tena, EC-NA, EC;-0,98425955;-77,83244913;Apidae;Tetragonisca angustula
Unnamed Road, Tena, Ecuador;-0,9870786;-77,8175048;Apidae;Apis mellifera
Puerto Velazco Ibarra, Ecuador;-1,277116307;-90,48717871;Apidae;Xylocopa darwini
Unnamed Road, Tena, Ecuador;-0,987500012;-77,8161087;Apidae;Apis mellifera
Tena, EC-NA, EC;-0,987063333;-77,81855833;Apidae;Apis mellifera
Calle Teniente Hugo OrtÃ­z, Tena, Ecuador;-0,99222225;-77,81416321;Apidae;Apis mellifera
Av del Chofer y Ruben Lerson, Ecuador;-0,999576654;-77,81273324;Apidae;Apis mellifera
Unnamed Road, Tena, Ecuador;-0,996846378;-77,80444336;Apidae;Apis mellifera
